X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6503030.095,1738033.828,72713,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Downtown Long Beach Station,,,,,,,,,,,3306127,Blue Line,,,publish,33.76807583,-118.1929332,2023/04/04 16:19:54+00,,33.76807583,-118.1929332
6502796.262,1739558.05,72714,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Ave Station,,,,,,,,,,,3306128,Blue Line,,,publish,33.77226283,-118.1937122,2023/04/04 16:19:54+00,,33.77226283,-118.1937122
6504114.566,1743039.067,72715,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Anaheim Street Station,,,,,,,,,,,3306129,Blue Line,,,publish,33.78183483,-118.1893962,2023/04/04 16:19:54+00,,33.78183483,-118.1893962
6504120.152,1745681.18,72716,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Coast Hwy Station,,,,,,,,,,,3306130,Blue Line,,,publish,33.78909483,-118.1893942,2023/04/04 16:19:54+00,,33.78909483,-118.1893942
6503995.17,1752228.119,72717,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willow Street Station,,,,,,,,,,,3306131,Blue Line,,,publish,33.80708383,-118.1898462,2023/04/04 16:19:54+00,,33.80708383,-118.1898462
6502103.679,1756884.926,72718,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wardlow Station,,,,,,,,,,,3306132,Blue Line,,,publish,33.81986983,-118.1961022,2023/04/04 16:19:54+00,,33.81986983,-118.1961022
6497591.224,1767213.933,72719,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Del Amo Station,,,,,,,,,,,3306133,Blue Line,,,publish,33.84822684,-118.2110292,2023/04/04 16:19:54+00,,33.84822684,-118.2110292
6494125.942,1777360.374,72720,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Artesia Station,,,,,,,,,,,3306134,Blue Line,,,publish,33.87608684,-118.2225152,2023/04/04 16:19:54+00,,33.87608684,-118.2225152
6493613.327,1785152.416,72721,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Compton Station,,,,,,,,,,,3306135,Blue Line,,,publish,33.89749484,-118.2242612,2023/04/04 16:19:54+00,,33.89749484,-118.2242612
6489601.615,1796282.42,72722,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willowbrook - Rosa Parks Station,,,,,,,,,,,3306136,Blue Line,,,publish,33.92805284,-118.2375672,2023/04/04 16:19:54+00,,33.92805284,-118.2375672
6487914.056,1801443.976,72723,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,103rd Street / Watts Towers  Station,,,,,,,,,,,3306137,Blue Line,,,publish,33.94222484,-118.2431712,2023/04/04 16:19:54+00,,33.94222484,-118.2431712
6487915.417,1807772.956,72724,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Firestone Station,,,,,,,,,,,3306138,Blue Line,,,publish,33.95961585,-118.2432172,2023/04/04 16:19:54+00,,33.95961585,-118.2432172
6487907.847,1812914.834,72725,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Florence Station,,,,,,,,,,,3306139,Blue Line,,,publish,33.97374485,-118.2432832,2023/04/04 16:19:54+00,,33.97374485,-118.2432832
6487882.577,1818381.005,72726,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Slauson Station,,,,,,,,,,,3306140,Blue Line,,,publish,33.98876485,-118.2434102,2023/04/04 16:19:54+00,,33.98876485,-118.2434102
6487923.849,1823534.037,72727,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vernon Station,,,,,,,,,,,3306141,Blue Line,,,publish,34.00292485,-118.2433152,2023/04/04 16:19:54+00,,34.00292485,-118.2433152
