OBJECTID,Geography ID,Geography Type,Name,Percentage of Households That Rent,Lower 95% Confidence Limit,Upper 95% Confidence Limit,Relative Standard Error,Shape__Area,Shape__Length
1,csa_city_agoura_hills,Incorporated City,City of Agoura Hills,,,,,217931682.6,80376.21069
2,csa_city_alhambra,Incorporated City,City of Alhambra,59,56.9,61.1,1.8,212764011.3,69016.50152
3,csa_city_arcadia,Incorporated City,City of Arcadia,41.6,38.6,44.5,3.6,309696288.9,132149.4016
4,csa_city_artesia,Incorporated City,City of Artesia,,,,,45210326.13,40904.97066
5,csa_city_azusa,Incorporated City,City of Azusa,45.5,42.9,48.1,2.9,269205013,158881.6016
6,csa_city_baldwin_park,Incorporated City,City of Baldwin Park,40.7,37.9,43.6,3.6,188966247.6,87241.43274
7,csa_city_bell,Incorporated City,City of Bell,72,68.2,75.8,2.7,72979028.15,65552.38876
8,csa_city_bell_gardens,Incorporated City,City of Bell Gardens,80.4,77.3,83.5,2,68721941.47,38937.42079
9,csa_city_bellflower,Incorporated City,City of Bellflower,61,58.2,63.7,2.3,172370845.9,59306.64522
10,csa_city_beverly_hills,Incorporated City,City of Beverly Hills,57.1,52.6,61.6,4,159282318.8,86925.77458
11,csa_city_burbank,Incorporated City,City of Burbank,56.7,54.5,58.9,2,483502845.6,102151.3967
12,csa_city_calabasas,Incorporated City,City of Calabasas,30.9,26.3,35.5,7.6,383613659.7,149118.5929
13,csa_city_carson,Incorporated City,City of Carson,25.3,22.6,28,5.5,528030737.8,127677.5113
14,csa_city_cerritos,Incorporated City,City of Cerritos,24.8,21.3,28.3,7.3,246787948.4,119808.8683
15,csa_city_claremont,Incorporated City,City of Claremont,34.9,30.6,39.2,6.3,375456745.8,150112.2043
16,csa_city_commerce,Incorporated City,City of Commerce,,,,,182719725.1,93390.81229
17,csa_city_compton,Incorporated City,City of Compton,42.6,39.5,45.8,3.8,281590253.8,178008.1025
18,csa_city_covina,Incorporated City,City of Covina,44.4,41,47.7,3.9,196344691.9,186251.1347
19,csa_city_cudahy,Incorporated City,City of Cudahy,88.1,84.6,91.6,2,34266752.81,33729.83524
20,csa_city_culver_city,Incorporated City,City of Culver City,44.1,39.6,48.6,5.2,143147615,116908.9706
21,csa_city_downey,Incorporated City,City of Downey,50.6,47.9,53.2,2.6,350371541.5,90498.33661
