GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
6037106010,3342,38.2,73.6,14.8,3.6,145,47,77.2,460800,6.3,2.1,25.1,0,3.12,1471 (USD),"$73,650 ",31.5,76.2,21.3,23.8,87.9,20.4,42.1,28.1
6037106020,5937,37.9,81.1,15.4,1,92,51.9,95.8,441100,6.2,2.9,18.2,0,4.22,1924 (USD),"$74,286 ",32.6,82.5,11.4,36.9,95.1,15.5,29,37.5
6037134720,4645,33.6,46.9,23.2,5,991,49.9,40.2,450600,4.2,1.8,55.9,3,2.75,1418 (USD),"$61,372 ",28,73.6,13,32.6,87.4,25,32.6,42.2
6037137201,6226,33.4,19.2,53.6,4.9,1315,50.8,34.9,605300,4.4,4,61.5,0,2.87,1763 (USD),"$74,936 ",29.3,71.3,7.1,29.9,86,51,54.5,39.2
6037137502,4627,41.9,13.2,67.2,10.8,174,47.1,77,668400,5.4,2.1,34.5,13.6,2.42,2325 (USD),"$96,964 ",32,84.9,5.7,22.9,80.8,54.9,77.9,20.1
6037137504,1960,52,3.3,91.6,1.4,39,51.4,96.9,1101700,8.2,0.8,1.3,64,6.67,,"$175,313 ",32.1,72.9,2.3,21.1,87.4,58.8,72.3,24.7
6037139702,5985,50.1,3,86.3,3.3,340,48.6,100,1247600,7.5,1.9,7.4,0,3.32,2934 (USD),"$187,891 ",31.9,83.4,4.7,9.1,94.1,69,58.3,34.2
6037143500,4977,41.4,9.4,69.7,11.8,281,46.9,37.5,908000,4.6,15.6,58.3,2.6,1.98,1795 (USD),"$87,464 ",32.2,69.5,10.3,11.1,86.2,64.2,82.6,11.9
6037181400,4511,40.6,37.9,24.9,1.3,1518,47.5,38.7,643300,3.9,38.4,71.3,0,2.66,1401 (USD),"$55,208 ",27.7,75.9,12.1,34.1,89.3,40.6,48.3,40.6
6037189400,3497,42.4,6.7,79,3.6,210,49.6,66.7,1131200,4.9,40.3,41.9,0,1.73,1825 (USD),"$123,500 ",31.2,70.1,8.3,27.2,89,70.4,86.1,13.2
6037185202,4088,35,60.5,25.9,3.3,399,49.2,56.4,659700,4.4,41.9,56.4,0,2.79,1357 (USD),"$62,044 ",31.5,63.5,16,40.6,87.5,38.5,45.1,32.7
6037188300,3576,42.1,29.9,33.1,0,974,50.6,67.5,663800,4.8,57.4,52.3,0,2.26,1644 (USD),"$93,594 ",36.6,68.9,5.5,42.8,94.2,45.4,47.6,41.5
6037189902,5243,35.6,8.6,72.6,2.9,641,55.5,1.1,535300,3.1,12.1,95.8,1.9,1.67,1543 (USD),"$52,120 ",29.1,66,15.2,80.6,75.9,62.8,53.8,43.4
6037190100,4624,32.6,17.4,62,6.5,463,57.5,5,608200,2.4,20.9,96.4,2.6,1.66,1407 (USD),"$42,470 ",33.1,56.4,20.8,92.8,71.6,64.5,70.9,24.5
6037192300,2389,39.9,10,64.1,0,561,49.5,23.4,952600,3.7,50.3,64.8,4.5,1.54,1750 (USD),"$100,000 ",29.1,71.1,10.2,46,84.9,77,66.4,29.7
6037195100,5028,41.8,16.2,62.4,1.9,720,51,64.3,1115300,5.4,47.8,42.4,6.6,2.15,1936 (USD),"$126,528 ",29.2,76,6.8,28.5,87.1,68.9,73.4,14.6
6037195720,2187,38.9,66.4,20.1,0.2,224,53,23.3,613200,3.2,42.7,79.7,4.1,2.35,1076 (USD),"$46,023 ",35.5,47.6,10.4,49.4,85.4,31.9,30.4,45.8
6037199201,4170,30.7,66.5,1.1,0,1297,48,24.2,377500,3.6,46,85,0.9,3.58,1017 (USD),"$39,009 ",32.5,59.4,24.9,21.7,92.4,11.2,14.1,46.9
6037203200,5008,31.8,96.1,1.5,1.2,18,46.2,49.5,338100,4.4,45.6,64.4,1,3.72,1078 (USD),"$45,785 ",30.7,59.4,30.7,25.8,90.6,9.7,12.3,42.7
6037203800,4688,31.4,95.2,1.9,0.2,86,48.9,62.4,346700,4.7,38.1,55.8,2.6,4.4,1129 (USD),"$38,955 ",31.1,64.5,31.1,22.5,92.5,10.1,15,39.1
6037204700,5271,31.4,94.8,3.8,0,77,53.4,68.1,346500,4.5,50.6,54.8,0,4.14,1047 (USD),"$50,458 ",27.5,73.6,23.6,31.6,94.9,5.6,6.6,46
6037204810,5112,33.2,98,0.2,1.1,30,50.7,57,412100,4.2,41.5,61.9,2.5,4.12,1004 (USD),"$41,037 ",26.6,74.3,23.3,27.2,91.4,6.3,10.5,43.2
6037216100,2428,44.1,8.4,54,17.3,418,52.3,50.9,950700,6.2,76.9,41.6,0,2.2,1768 (USD),"$98,102 ",25.4,71.1,8.4,35.2,85.1,69.3,77.3,16.8
6037206031,3589,34.3,8.9,42.4,4.3,1350,59.3,1.3,628200,1.4,35.3,70.7,9.3,1.69,2332 (USD),"$87,500 ",28.1,54.6,13,83,75.6,70.7,60.1,24.4
6037186301,3119,31.2,67.9,15.5,3.2,363,51.2,37.1,484800,4.1,18.5,69.6,0,3.46,1165 (USD),"$38,672 ",32,60.5,33.1,27.5,83.2,27.5,31.7,38.6
6037183104,2248,38.4,54.2,26.2,0.7,363,49.9,66.4,624600,5.3,26.7,37.7,0,2.95,1256 (USD),"$69,250 ",37.5,74.3,8.1,40,96.7,33.8,43.5,29.9
6037241002,3956,26.1,59.4,0.5,38.6,0,45.2,58.6,320700,4.9,19.9,54.1,0,3.67,1132 (USD),"$39,837 ",31.5,82.9,22.3,16.5,94.9,5.1,45,20.9
6037241001,4460,29.2,72.6,0.4,25.4,6,43.3,56.4,283900,4.9,32.1,53.8,5.3,4.16,1122 (USD),"$37,917 ",25.4,71.8,30.5,20.8,92.1,9.2,29.2,37
6037240402,3756,29.6,64.2,0.1,34,1,44.6,60.2,280100,4.4,47.7,49.7,3.1,3.35,1045 (USD),"$33,705 ",36,78.6,36.3,18.8,91.8,5.8,43,29.2
6037239202,5589,25.8,80.3,0.3,18.7,0,51.5,59,423300,4.3,31.9,71.5,2.3,4.8,1132 (USD),"$31,716 ",39.7,58.5,30.5,20.8,87.6,6.3,22.7,33.3
6037239201,3842,28.6,79,0.7,19.8,1,50.8,48.5,321300,4.4,50.9,81.4,3.1,4.14,1071 (USD),"$34,418 ",32.5,54,33.8,11.2,87,5.8,22.3,42.3
6037237402,3011,37.5,58.2,1.3,40.1,0,49.8,74.3,277200,4.3,62.8,38.2,0,2.65,1096 (USD),"$34,719 ",30.5,76.9,22.2,33.8,93.1,10.4,42.8,32.5
6037237401,3967,32.8,73.8,1.1,24.6,0,47.4,69.8,276100,4.8,60.9,50.7,3.7,3,1064 (USD),"$33,661 ",35.4,77.2,36.6,27.5,92.9,8.3,27.7,36.5
6037237202,4708,32.3,65.5,2.3,31.2,32,50.8,57.4,321800,4.5,34.3,55.6,1.1,3.29,1303 (USD),"$40,511 ",37.9,74.5,17.5,26.3,95.6,8.8,33.6,36.4
6037237201,3581,32,70.9,0.2,25.9,49,48.1,70.6,289600,4.5,50.8,51.4,2.8,3.18,1071 (USD),"$41,858 ",36,79,21.5,34.1,92.8,5.3,30.4,36.7
6037237101,3926,29.5,76.1,0.6,22.8,16,45.2,46.1,369300,4.3,37.6,69.2,3.8,3.32,1004 (USD),"$30,530 ",34.4,59.7,37.5,15.4,94.1,4,27.5,38
6037236204,2944,33.3,37.9,3.9,55.5,38,45.2,1.2,,3.5,12.4,100,7.3,2.3,1059 (USD),"$23,491 ",31.1,57.6,44.1,37.4,81.6,8.9,62.1,23.5
6037236203,3269,37.7,27.2,2.3,58.9,164,45.1,1.5,310500,3.5,23.8,97.7,4.9,2.24,1062 (USD),"$27,092 ",34.3,63.6,29.3,26.5,89.8,11.1,58.9,32.6
6037234902,3908,33.4,53,1.5,39.8,48,46.5,25,425600,3.8,22.1,78.6,11.3,2.58,1088 (USD),"$25,893 ",38.8,67.4,27.2,33.1,88.5,5.7,45,32.9
6037222001,3022,35.1,60.6,8.1,28.4,28,49.1,62.5,462400,5.1,77,48.8,3.7,3.15,1236 (USD),"$51,838 ",31.7,77,13.5,29.3,95.7,22.8,44.3,33.1
6037221602,2939,31.4,88.9,2.2,2.5,175,49.1,18.6,434200,3.3,20.3,90.6,0,3.02,1031 (USD),"$24,063 ",34.5,57.8,38,16.9,90,12.3,9.8,55.1
6037221601,3159,35.2,74.6,6.6,13.9,127,49.7,21.7,559600,3.9,45.1,81.1,0,3.23,946 (USD),"$32,974 ",34.6,62.5,30.5,20.5,89,14.9,27.5,45.4
6037221402,2857,34,55.2,7.3,20.1,431,52.4,24.3,645000,3.8,44.3,77.5,2.8,2.55,1049 (USD),"$34,250 ",33.4,68.4,24.7,34.7,88.5,20.1,34.9,39.8
6037294301,2639,36.8,82.3,8,1,209,50.9,83.5,380300,5.2,19,22,0,3.5,1138 (USD),"$66,510 ",23.2,81.5,6.8,20.9,97.4,14.8,36.2,34.1
6037293307,2601,33.6,63.4,10.1,8.2,391,50.1,12.9,298100,3.4,0,78.1,0,2.9,1107 (USD),"$47,337 ",29.8,72.3,26.5,32.7,91.7,20,29.1,43
6037278102,3118,44.4,8.6,79.9,1.7,153,51.8,34.3,1179200,4.7,3.8,48.5,3.3,1.92,2168 (USD),"$155,694 ",30.5,85.7,3.1,54.5,83.9,71.3,86.9,12.1
6037194402,3776,36.1,5.7,77.6,0.8,482,55.7,14.1,872200,4.2,24.5,71.9,0,1.73,2436 (USD),"$96,552 ",25.3,74.5,11,41.5,77,72.7,74.1,20.5
6037221401,3523,35,36.1,7.4,46.8,248,40.8,16.1,710900,3.1,27.8,88.1,3.9,2.34,821 (USD),"$21,545 ",33.3,58.7,42.6,32.7,88.9,22.6,53.2,31.6
6037221304,3894,34.6,67.8,2.2,9.7,779,42.9,3.6,468200,3.5,20,97.3,1.2,3.45,1114 (USD),"$34,375 ",35.3,62.6,28.6,20.5,95.7,16.5,9.9,54.5
6037221303,2838,34.8,75.3,5.8,5.2,363,57,11.3,538500,3.2,45.4,87.4,0,3.49,1038 (USD),"$31,349 ",33.6,48,42.8,29.2,84.9,17.2,11.8,55.7
6037219902,3682,33.5,66,7.7,19.8,91,52.1,46.7,424200,4.1,23.7,49.9,3.6,2.89,1329 (USD),"$44,766 ",28.3,64.7,22.1,23.9,94.7,17.5,29,39.5
6037218702,2218,36.8,58,4.3,30.9,68,50.2,27.8,468100,3.5,52.7,74,0,2.57,953 (USD),"$32,218 ",36.5,75.6,28,25,92.7,19.8,42.1,38.7
6037218701,2239,41.6,29.6,9.2,39.7,444,49,33.3,737200,4.5,59.9,60.9,10.1,2.61,1113 (USD),"$55,154 ",31.6,82.5,17.8,24.1,89.2,32.8,57,29.1
6037217002,5058,35.9,14.4,63.8,8.7,500,43.8,18.3,943100,4.3,32.3,75.2,1.3,2.03,1628 (USD),"$74,215 ",27.5,80.5,12.5,29.1,88.6,55.1,60.6,28
6037217001,3240,30.8,2.9,85.9,1.7,125,47.1,46.3,1131000,5.1,44.8,53.9,2.9,2.74,1759 (USD),"$73,603 ",23.5,66.5,13.3,22.1,90.6,61.8,51.4,23.4
6037216402,2845,38,5.5,74.8,0.1,410,47.6,2,680700,3.9,9.4,87,6.6,2.04,1926 (USD),"$75,074 ",24.8,84,15.4,49.1,87.9,58.4,51.2,38.3
6037216401,4380,33.9,9.5,78.8,4.4,226,51,1,642900,3.7,13,88.4,9,2.19,1720 (USD),"$49,395 ",26.2,66.1,15.8,47.5,81.3,57.6,50.5,37.8
6037215102,3070,34,12.5,64.7,0,650,46.4,0.6,,3.1,50.1,99.4,4.7,1.57,1757 (USD),"$61,368 ",27.8,66.7,12.3,71.6,69.6,66.2,60.9,32.4
6037215101,2930,30.4,16.4,55.9,7.4,430,40.3,0,651000,3.1,25.3,92.3,6.4,1.77,1881 (USD),"$61,609 ",30.5,72.6,15.4,85.6,66.9,81.5,57.6,30.3
6037214501,2860,34.8,7,46.9,3.2,982,50.1,3.6,1981300,3.7,8.3,97.4,5.6,1.98,2587 (USD),"$86,438 ",27.2,68,14.3,51.2,55.6,70.5,42.1,48.8
6037212702,3647,44.7,15.7,20.1,6.6,1967,48,31.8,886500,4.8,37.1,50.8,3.4,2.18,1636 (USD),"$68,750 ",29.5,77.4,10.5,37,89,51.5,35.7,42.3
6037212502,2779,33.9,30.8,14.2,10.1,1143,48.1,3.6,559800,2.8,33.8,93.5,3.7,2.03,1204 (USD),"$44,178 ",27.9,61.3,16.8,48.2,77.9,47.2,32.6,47.5
6037194401,2454,37.2,15.4,70.4,5.7,114,53.1,22.5,1146800,3.8,32.7,81.9,4.8,1.79,1658 (USD),"$83,191 ",27,68,8.4,66.7,75,54.3,68.9,25.1
6037194102,3456,45.5,6.4,78.1,4.2,316,54.1,84.5,1561100,6.1,12.8,23.6,0,1.72,1713 (USD),"$124,764 ",31.3,75.6,5.4,23.9,91.3,62.9,65.2,23.2
6037192002,2651,39.2,9.3,72.2,5.1,144,51.8,52,932500,5,74.1,54.2,3.4,2.09,1978 (USD),"$104,091 ",26.7,74.5,10.7,30.2,76.3,59,72.7,19.1
6037191902,2560,34.8,16.1,74.2,2.3,106,48.5,34.9,1071900,3.9,57.4,57.3,5.7,1.73,1609 (USD),"$91,550 ",27.9,74.5,9.7,27.3,84.2,63.6,73.9,18.9
6037191901,3197,32.1,27.1,59.1,4,199,54.9,8.2,615900,2.8,6.8,92,5.2,2.02,1472 (USD),"$54,028 ",32.8,76.8,15.3,55.3,86.2,46.1,55.7,33.8
